Apuleius, Lucius; Az aranyszamár; 160
Rabelais, François; Gargantua és Pantagruel; 1534+
de Cervantes, Miguel; Don Quijote; 1605*+
Defoe, Daniel; Robinson Crusoe; 1719!
Swift, Jonathan; Gulliver utazásai; 1726
Rousseau, Jean-Jacques; Emil, avagy a nevelésről; 1762
Voltaire; Candide; 1759+
von Goethe, Johann Wolfgang; Az ifjú Werther szenvedései; 1774
de Sade, Marque; Szodoma százhúsz napja; 1785;; ez egy gusztustalan könyv*+
Austen, Jane; Értelem és érzelem; 1811
Austen, Jane; Büszkeség és balítélet; 1813*+
Austen, Jane; Emma; 1816
Shelley, Mary; Frankenstein; 1818*+
Cooper, James Fenimore; Az utolsó mohikán; 1826!
Stendhal; Vörös és fekete; 1830+
Hugo, Victor; A párizsi Notre-Dame; 1831
de Balzac, Honoré; Goriot apó; 1835!+
Gogol, Nyikolaj Vasziljevics; Az orr; 1836
Gogol, Nyikolaj Vasziljevics; Holt lelkek; 1842+
Dickens, Charles; A Pickwick Klub; 1837
Dickens, Charles; Twist Olivér; 1838!+
Dickens, Charles; Karácsonyi ének; 1843*+
Dickens, Charles; David Copperfield; 1850!+
Dickens, Charles; Két város regénye; 1859!+
Poe, Edgar Allan; A kút és az inga; 1843
Dumas, Alexandre; A három testőr; 1844+
Brontë, Charlotte; Jane Eyre; 1847+
Brontë, Emily; Üvöltő szelek; 1847+
Hawthorne, Nathaniel; A skarlát betű; 1850
Melville, Herman; Moby Dick, vagy a fehér bálna; 1851*+
Melville, Herman; Billy Budd; 1924
Beecher Stowe, Harriet; Tamás bátya kunyhója; 1852!
Thoreau, Henry David; Walden; 1854*+
Gaskell, Elizabeth; Észak és dél; 1855
Flaubert, Gustave; Bovaryné; 1857!+
Flaubert, Gustave; Érzelmek iskolája; 1869
Hugo, Victor; A nyomorultak; 1862
Carroll, Lewis; Alice Csodaországban; 1865*+
Carroll, Lewis; Alice Tükörországban; 1871!
Dosztojevszkij, Fjodor Mihajlovics; Bűn és bűnhődés; 1866!+
Dosztojevszkij, Fjodor Mihajlovics; A félkegyelmű; 1869
Verne, Jules; Utazás a Föld középpontja felé; 1866*+
Verne, Jules; Nyolcvan nap alatt a Föld körül; 1873!+
Alcott, Louisa May; Kisasszonyok; 1968
Tolsztoj, Lev; Háború és béke; 1869
Tolsztoj, Lev; Anna Karenina; 1877*+
Tolsztoj, Lev; Ivan Iljics halála; 1884
le Fanu, Joseph Sheridan; Fogadó a Repülő sárkányhoz és más kísértethistóriák; 1872!
Mikszáth Kálmán; Nibelungok harca; 1873
Mikszáth Kálmán; Tót atyafiak; 1881; Elbeszélések és rajzok róluk*+
Mikszáth Kálmán; A jó palócok; 1882; 15 apró történet*+
Mikszáth Kálmán; Szent Péter esernyője; 1895
Mikszáth Kálmán; Beszterce ostroma; 1895+
Zola, Émile; A patkányfogó; 1877+
Zola, Émile; Nana; 1880
Strindberg, August; A vörös szoba; 1880
Wallace, Lew; Ben-Hur; 1880
James, Henry; Egy hölgy arcképe; 1881
Stevenson, Robert Louis; A kincses sziget; 1883
Stevenson, Robert Louis; Emberrablók; 1886
Stevenson, Robert Louis; Dr. Jekyll és Mr. Hyde különös esete; 1886*+
de Maupassant, Guy; Egy asszony élete; 1883
de Maupassant, Guy; A szépfiú; 1885
Twain, Mark; Huckleberry Finn kalandjai; 1885+
Hardy, Thomas; Erdőlakók; 1887
Hardy, Thomas; Lidércfény; 1895
Wilde, Oscar; Dorian Gray arcképe; 1890*
Wilde, Oscar; Teleny; 1893!
Doyle, Arthur Conan; Sherlock Holmes kalandjai; 1892!
Doyle, Arthur Conan; A sátán kutyája; 1902*+
Wells, H. G.; Az időgép; 1895
Wells, H. G.; Dr. Moreau szigete; 1896
Wells, H. G.; A láthatatlan ember; 1897*+
Wells, H. G.; Világok harca; 1898
Wells, H. G.; Az istenek eledele; 1904
Sienkiewicz, Henryk; Quo vadis; 1896
Stoker, Bram; Drakula; 1897*+
Baum, L. Frank; Óz, a nagy varázsló; 1900*+
Gárdonyi Géza; Egri csillagok; 1901!+
Mann, Thomas; A Buddenbrook ház; 1901
Mann, Thomas; A varázshegy; 1924
Mann, Thomas; Doktor Faustus; 1947
Galsworthy, John; A Forsyte-saga; 1906
London, Jack; A vaspata; 1908
London, Jack; Martin Eden; 1909
Forster, E. M.; Szoba kilátással; 1908
Forster, E. M.; Szellem a házban; 1910
Krúdy Gyula; Szindbád; 1911+
Karinthy Frigyes; Így írtok ti; 1912
Karinthy Frigyes; Tanár úr kérem; 1916*+
Karinthy Frigyes; Capillária; 1921
Karinthy Frigyes; Utazás a koponyám körül; 1937+
Burroughs, Edgar Rice; Tarzan, a majomember; 1914
Hesse, Hermann; Csillagsors; 1914
Hesse, Hermann; Sziddhártha; 1922
Kosztolányi Dezső; Nero, a véres költő; 1921
Kosztolányi Dezső; Pacsirta; 1924+
Kosztolányi Dezső; Aranysárkány; 1925+
Kosztolányi Dezső; Édes Anna; 1926*+
Joyce, James; Ulysses; 1922
Huxley, Aldous; Álszakáll; 1923; Légnadrág és társai
Huxley, Aldous; Szép új világ; 1932
Arlen, Michael; A zöld kalap; 1924
Kafka, Franz; A per; 1925
Fitzgerald, F. Scott; A nagy Gatsby; 1925*+
Fitzgerald, F. Scott; Az éj szelíd trónján; 1934
Hemingway, Ernest; Fiesta, a nap is felkel; 1926
Hemingway, Ernest; Akiért a harang szól; 1940
Hemingway, Ernest; Az öreg halász és a tenger; 1952*+
Woolf, Virginia; A világítótorony; 1927
Woolf, Virginia; Hullámok; 1931
Woolf, Virginia; Évek; 1937
Proust, Marcel; Az eltűnt idő nyomában; 1927
Faulkner, William; A hang és a téboly; 1929!
Hammett, Dashiell; A máltai sólyom; 1930
Maugham, William Somerset; Sör és perec; 1930
Hammett, Dashiell; Az üvegkulcs; 1931
Cain, James M.; A postás mindig kétszer csenget; 1934
Brecht, Bertolt; Koldusopera; 1928
Szerb Antal; A Pednragon legenda; 1934*+
Barnes, Djuna; Éjerdő; 1936
Lovecraft, Howard Phillips; Az őrület hegyei; 1936
Mitchell, Margaret; Elfújta a szél; 1936+
Tolkien, J. R. R.; A hobbit; 1937*+
Tolkien, J. R. R.; A Gyűrűk Ura 1.; 1954; A Gyűrű Szövetsége*+
Tolkien, J. R. R.; A Gyűrűk Ura 2.; 1954; A két torony*+
Tolkien, J. R. R.; A Gyűrűk Ura 3.; 1955; A király visszatér*+
Tolkien, J. R. R.; A szilmarilok; 1977+
Steinbeck, John; Egerek és emberek; 1937
Beckett, Samuel; Murphy; 1938!+
Beckett, Samuel; Hogy is van ez; 1961
Chandler, Raymond; Hosszú álom; 1939
Orwell, George; Légszomj; 1939
O'Brien, Flann; Úszikkétmadáron; 1939
O'Brien, Flann; A fába szorult féreg; 1941
Camus, Albert; Közöny; 1942!
Márai Sándor; A gyertyák csonkig égnek; 1942
de Saint-Exupéry, Antoine; A kis herceg; 1943*+
Orwell, George; Állatfarm; 1945*+
Orwell, George; 1984; 1949
Queneau, Raymond; Stílusgyakorlatok; 1947
Greene, Graham; A kezdet és a vég; 1948
Asimov, Isaac; Én, a robot; 1950*+
Asimov, Isaac; Alapítvány; 1951+
Salinger, J. D.; Zabhegyező; 1951;;2015 utáni fordítás címe: Rozsban a fogó+
Salinger, J. D.; Franny és Zooey; 1961
Fleming, Ian; Casino Royale; 1953!
Burroughs, William S.; A narkós; 1953
Murdoch, Iris; A háló alatt; 1954
Golding, William; A Legyek Ura; 1954
Réage, Pauline; O története; 1954
Nabokov, Vladimir; Lolita; 1955+
Nabokov, Vladimir; Ada; 1969
Highsmith, Patricia; A tehetséges Mr. Ripley; 1955
Paszternak, Borisz; Zsivago doktor; 1957+
Kerouac, Jack; Úton; 1957+
Frisch, Max; Homo Faber; 1957!
Wyndham, John; Szemünk fényei; 1957
Tomasi di Lampedusa, Giuseppe; A párduc; 1958
Capote, Truman; Álom luxuskivitelben; 1958
Dick, Philip K.; Kizökkent az idő; 1959!
Dick, Philip K.; Álmodnak-e az androidok elektronikus bárányokkal; 1968*+
Dick, Philip K.; Emlékmás; 2016;; válogatott novellák
Updike, John; Nyúlcipő; 1960
Lee, Harper; Ne bántsátok a feketerigót!; 1960
Heller, Joseph; A 22-es csapdája; 1961
Lem, Stanisław; Solaris; 1961
Lessing, Doris; Az arany jegyzetfüzet; 1962
Burgess, Anthony; Gépnarancs; 1962!
Plath, Sylvia; Az üvegbura; 1963
le Carré, John; A kém, aki bejött a hidegről; 1963
Vonnegut, Kurt; Macskabölcső; 1963
Vonnegut, Kurt; Az ötös számú vágóhíd; 1969
Vonnegut, Kurt; Bajnokok reggelije; 1973
Herbert, Frank; Dűne (1.); 1965!
Fowles, John; A mágus; 1966!
Capote, Truman; Hidegvérrel; 1966
Perec, Georges; Az alvó ember; 1967
Kundera, Milan; Tréfa; 1967
Bulgakov, Mihail; A Mester és Margarita; 1967!+
Márquez, Gabriel García; Száz év magány; 1967+
Clarke, Arthur C.; 2001. Űrodisszeia; 1968!
Oates, Joyce Carol; Ők; 1969
Puzo, Mario; A keresztapa; 1969
Amado, Jorge; Csodabazár; 1969
Farrell, J. G.; Zavaros idők; 1970
Morrison, Toni; Nagyonkék; 1970
Tournier, Michel; A Rémkirály; 1970
Szabó Magda; Abigél; 1970*+
Szabó Magda; Az ajtó; 1987*+
Szabó Magda; Für Elise; 2002
Updike, John; Nyúlketrec; 1971
Thompson, Hunter S.; Félelem és reszketés Las Vegasban; 1971
Doctorow, E. L.; Daniel könyve; 1971
Berger, John; G.; 1972
Coetzee, J. M.; Alkonyvidék; 1974
Coetzee, J. M.; A barbárokra várva; 1980
Bernhard, Thomas; Korrektúra; 1975
Ballard, J. G.; Toronyház; 1975
Kertész Imre; Sorstalanság; 1975*+
Rushdie, Salman; Grímusz; 1975
Rushdie, Salman; Az éjfél gyermekei; 1980
Rushdie, Salman; Sátáni versek; 1988
Rice, Anne; Interjú a vámpírral; 1976
Morrison, Toni; Salamon-ének; 1977
King, Stephen; A ragyogás; 1977*+
Bernhard, Thomas; Igen; 1978
Adams, Douglas; Galaxis útikalauz stopposoknak; 1979!
Kundera, Milan; A nevetés és felejtés könyve; 1979
Eco, Umberto; A rózsa neve; 1980*+
Toole, John Kennedy; Tökfilkók szövetsége; 1980
Golding, William; Beavatás; 1981
Updike, John; Nyúlháj; 1981
Allende, Isabel; Kísértetház; 1982
Gibson, William; Neurománc; 1984;; Sprawl-trilógia 1.!
Banks, Iain; A darázsgyár; 1984!
Ballard, J. G.; A Nap birodalma; 1984
Gemmell, David; Legenda; 1984
Pavic, Milorad; Kazár szótár; 1984
DeLillo, Don; Fehér zaj; 1985
Süskind, Patrick; A parfüm; 1985
Márquez, Gabriel García; Szerelem a kolera idején; 1985
Hofmann, Gert; Vak vezet világtalant; 1985
Ishiguro, Kazuo; A lebegő világ művészete; 1986
Moore, Alan; Watchmen: Az Őrzők; 1986
Ellroy, James; Fekete Dália; 1987!
Adams, Douglas; Dirk Gently holisztikus nyomozóirodája; 1987
Adams, Douglas; A lélek hosszú, sötét teadélutánja; 1987
Atwood, Margaret; Macskaszem; 1988
Auster, Paul; Holdpalota; 1989
Cunningham, Michael; Otthon a világ végén; 1990
Auster, Paul; A véletlen zenéje; 1990
Sebald, W. G.; Szédület. Érzés.; 1990
Leonard, Elmore; Szóljatok a köpcösnek!; 1990
Amis, Martin; Időnyíl; 1991
Ellis, Bret Easton; Amerikai psycho; 1991!
Chang, Jung; Vadhattyúk; 1991!
Høeg, Peter; Smilla kisasszony hóra vágyik; 1992
Ondaatje, Michael; Az angol beteg; 1992
Morrison, Toni; Dzsessz; 1992
Marias, Javier; A szívem fehér; 1992
Eugenides, Jeffrey; Öngyilkos szüzek; 1993
Faulks, Sebastian; Madárdal; 1993
de Bernières, Louis; Corelli kapitány mandolinja; 1994
Sebald, W. G.; A Szaturnusz gyűrűi; 1995
Baricco, Alessandro; Selyem; 1996
Golden, Arthur; Egy gésa emlékiratai; 1997
Coelho, Paulo; Veronika meg akar halni; 1998
Cunningham, Michael; Az órák; 1998
Kingsolver, Barbara; Mérgezett Éden; 1998
Kureishi, Hanif; Intimitás; 1998
Houellebecq, Michel; Elemi részecskék; 1998
